No.,Name,Type,Address
402,당산대로,일반,"서울특별시 영등포구 양평로 22 (당산동6가)"
403,여의도IFC몰(L1)R,R,"서울특별시 영등포구 국제금융로 10 (여의도동) 지하1층 178호"
404,여의도KBS R,R,"서울특별시 영등포구 의사당대로 26 (여의도동)"
405,여의도화재보험,일반,"서울특별시 영등포구 국제금융로6길 38 (여의도동)"
406,국회대로,일반,"서울특별시 영등포구 국회대로 786 (여의도동)"
407,영등포KT,일반,"서울특별시 영등포구 영중로 119 (영등포동8가)"
408,여의도공원R,R,"서울특별시 영등포구 여의공원로 101 (여의도동)"
409,국회의사당역,일반,"서울특별시 영등포구 의사당대로 8 (여의도동)"
410,여의도역R,R,"서울특별시 영등포구 의사당대로 83 (여의도동) 1층"
411,선유동이레빌딩,일반,"서울특별시 영등포구 선유동2로 57 (양평제1동) 이레빌딩"
412,동여의도,일반,"서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비"
413,여의도ABL타워,일반,"서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워"
414,영등포신길,일반,"서울특별시 영등포구 신길로 137 (신길동) 1,2층"
415,문래역,일반,"서울특별시 영등포구 당산로 34 (문래동3가)"
416,당산,일반,"서울특별시 영등포구 양평로 64 (당산동6가)"
417,여의도한양증권,일반,"서울특별시 영등포구 국제금융로6길 7 (여의도동) 한양증권"
418,여의도일신,일반,"서울특별시 영등포구 은행로 11 (여의도동) 1층 1부"
419,하이테크시티,일반,"서울특별시 영등포구 경인로 775 (문래동3가) 에이스하이테크시티"
420,여의도,일반,"서울특별시 영등포구 국제금융로2길 28 (여의도동)"
421,롯데캐슬여의도,일반,"서울특별시 영등포구 의사당대로 127 (여의도동, 롯데캐슬엠파이어) 1층 104호"
422,문래동,일반,"서울특별시 영등포구 선유로 64, 대창타운빌 1층 (문래동3가)"
423,여의도호성,일반,"서울특별시 영등포구 여의대방로65길 24, 호성빌딩 1층 (여의도동)"
424,타임스퀘어B2,일반,"서울특별시 영등포구 영중로 15, 지하2층 (영등포동4가)"
425,영등포본동,일반,"서울특별시 영등포구 영등포로 254 (영등포동3가)"
426,타임스퀘어2F,일반,"서울특별시 영등포구 영중로 15 지상2층 (영등포동4가)"
427,여의도의사당,일반,"서울특별시 영등포구 국회대로74길 12 (여의도동)"
428,여의도IFC(1F),일반,"서울특별시 영등포구 국제금융로 10 (여의도동)"
429,여의도교직원공제회,일반,"서울특별시 영등포구 여의나루로 50 (여의도동)"
430,선유도역 1번출구,일반,"서울특별시 영등포구 양평로 128 (양평동5가)양평로 128"
431,영등포시장역,일반,"서울특별시 영등포구 영중로 79 (영등포동7가)"
432,영등포구청역,일반,"서울특별시 영등포구 국회대로 558"
433,서울양평역,일반,"서울특별시 영등포구 선유서로24길 6 (양평동1가, 영등포 중흥 S-CLASS)"
434,영등포시장교차로,일반,"서울특별시 영등포구 영중로 45 (영등포동6가)"
435,더현대서울(B2)R,R,"서울특별시 영등포구 여의대로 108 (여의도동)"
